trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,4,-45.48943123335788,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,0,3.8530027386705044,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,11,6.963155385141519,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",20,10,10.403355883983679,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",35,14,-4.676555173291762,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,0,-48.23986390239393,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",20,0,-0.4776336105794228,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,0,-44.258374113474474,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,13,12.020233511152627,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",25,0,-29.63599778850632,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,0,6.3762381031546465,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",30,13,19.792827192099363,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,0,6.5311475254513365,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,0,-33.661959656808364,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",25,15,-14.565067709161664,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",35,0,-42.70586973948071,"{0: 32, 1: 1, 2: 0, 3: 0, 4: 2}",0
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",25,0,-115.26466406981001,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",35,21,-37.244694518116574,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,10,-4.749560951598884,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",35,6,-5.373563789654124,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,0,-60.045640812576536,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",30,6,-27.04807477858462,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,0,17.218429552708365,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,0,-77.66062864607137,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,0,25.33728827553327,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,1,15.287453395260949,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",30,0,33.822343993365195,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,0,14.704348838079543,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",20,6,21.31079634659407,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",25,10,23.95311516202973,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",20,0,9.62043034333416,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",20,0,13.634904578865074,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,-0.3124239574487918,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",30,18,10.675078861451865,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,0,0.8848544853973908,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,12,4.650385139662379,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,6,-50.078947283688485,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,0,7.753757422306098,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,0,1.589363843848025,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,0,-19.822789717555438,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,0,-17.84805417557183,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,3,13.723848704592159,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",25,2,-7.986593947932034,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,0,15.459528791282636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,0,-43.978277150143576,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,11,26.70164493039671,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,0,20.599859114433894,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",35,20,29.45202846092767,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",20,5,17.275052484367993,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",20,6,8.177383791501855,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",30,21,2.3011809566447505,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16365413680270405}",30,11,7.5937846701809075,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.16202575093388075}",35,18,-9.731945937375569,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.01, 'e': 0.16041356777517274}",20,0,6.313967881860398,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
